station_id,station_name,brand,address,lat,lng,fuel_type,tracked_in_fuel_check,is_outage,ever_had_fuel,latest_has_fuel,first_seen_at,last_seen_at,snapshots_seen,days_seen_count,day_set,latest_fuel_types,fuel_types_ever
17139,7-Eleven Baulkham Hills,7-Eleven,"217-219 Seven Hills Rd, BAULKHAM HILLS NSW 2153",-33.7555124,150.963514,LPG,true,true,true,false,2026-03-29T13:00:33,2026-04-17T10:50:07,30,11,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-13,2026-04-14,2026-04-17","U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL,LPG"
260,7-Eleven North Ryde,7-Eleven,"400 Lane Cove Road, North Ryde NSW 2113",-33.784477,151.128964,E10,true,true,true,false,2026-03-29T13:00:33,2026-04-17T10:50:07,30,11,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-13,2026-04-14,2026-04-17","U91,P98,PDL","U91,E10,P98,PDL"
262,7-Eleven Ryde,7-Eleven,"326-328 Blaxland Road, Ryde NSW 2112",-33.802513,151.100336,LPG,true,true,true,false,2026-03-29T13:00:33,2026-04-17T10:50:07,30,11,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-13,2026-04-14,2026-04-17","U91,E10,P98,PDL","U91,E10,P98,PDL,LPG"
17143,7-Eleven Yagoona,7-Eleven,"519 Hume Hwy, YAGOONA NSW 2199",-33.9076093,151.0207726,E10,true,true,true,false,2026-04-02T19:08:37,2026-04-17T10:50:07,21,7,"2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-13,2026-04-14,2026-04-17","U91,P98,PDL,LPG","U91,E10,P98,PDL,LPG"
782,Ampol Foodary Northmead,Ampol Foodary,"98-100 Windsor Rd Cnr Lombard Rd, Northmead NSW 2152",-33.788196,150.994927,PDL,true,true,true,false,2026-03-29T13:00:33,2026-04-17T10:50:07,28,11,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-13,2026-04-14,2026-04-17","U91,E10,P95,P98","U91,E10,P95,P98,PDL"
17329,Ampol Foodary Seven Hills,Ampol Foodary,"38 Abbott Rd, SEVEN HILLS NSW 2147",-33.7669285,150.9548252,E10,true,true,true,false,2026-03-29T13:00:33,2026-04-17T10:50:07,25,10,"2026-03-29,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-13,2026-04-14,2026-04-17","P95,P98,PDL","E10,P95,P98,PDL"
2442,Ampol Foodary Wentworthville,Ampol Foodary,"313 Great Western Hwy, SOUTH WENTWORTHVILLE NSW 2145",-33.816223,150.971793,U91,false,true,true,false,2026-03-29T13:00:33,2026-04-17T10:50:07,19,9,"2026-03-29,2026-03-30,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-13,2026-04-14,2026-04-17","E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17975,BP FOX HILLS,BP,"152 Toongabbie Rd, GIRRAWEEN NSW 2145",-33.7956395,150.9390745,PDL,true,true,true,false,2026-04-02T19:08:37,2026-04-17T10:50:07,21,7,"2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-13,2026-04-14,2026-04-17","U91,P98","U91,P98,PDL"
1795,BP Lane Cove,BP,"62-70 Epping Rd, Lane Cove NSW 2066",-33.811106,151.164217,LPG,true,true,true,false,2026-03-29T13:00:33,2026-04-17T10:50:07,30,11,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-13,2026-04-14,2026-04-17","U91,E10,P98,PDL","U91,E10,P98,PDL,LPG"
20242,METRO PETROLEUM (HABERFIELD),Metro Fuel,"163-165 PARRAMATTA RD, HABERFIELD NSW 2045",-33.88364863,151.13453452,U91,true,true,true,false,2026-03-29T13:00:33,2026-04-17T10:50:07,30,11,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-13,2026-04-14,2026-04-17","E10,P98,PDL","U91,E10,P98,PDL"
1045,Metro Petroleum Lakemba,Metro Fuel,"47 Lakemba Street, Belmore NSW 2192",-33.913952,151.085535,PDL,false,true,true,false,2026-04-02T19:08:37,2026-04-17T10:50:07,19,7,"2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-13,2026-04-14,2026-04-17","U91,E10,P98,DL","U91,E10,P98,DL,PDL"
18468,Speedway Court Road,Speedway,"32 COURT RD, FAIRFIELD NSW 2165",-33.8701219,150.9581328,E85,true,true,true,false,2026-03-29T13:00:33,2026-04-17T10:50:07,30,11,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-13,2026-04-14,2026-04-17","U91,E10,P98,DL,PDL","U91,E10,E85,P98,DL,PDL"
