google_name,google_address_full,google_street,google_suburb,google_state,google_lat,google_lng,google_address_missing
EG Ampol West Ryde,"924 Victoria Rd, West Ryde NSW",924 Victoria Rd,West Ryde,NSW,-33.810947,151.093493,false
BP,,,,,-33.795827,151.102935,true
Metro Petroleum,"36 Lane Cove Rd, Ryde NSW",36 Lane Cove Rd,Ryde,NSW,-33.807627,151.108736,false
Apex Petroleum,"898-902 Victoria Rd, West Ryde NSW",898-902 Victoria Rd,West Ryde,NSW,-33.811893,151.094727,false
Speedway West Ryde,"899 Victoria Rd, West Ryde NSW",899 Victoria Rd,West Ryde,NSW,-33.810526,151.094167,false
Shell Reddy Express Ryde,"45 Lane Cove Rd, Ryde NSW",45 Lane Cove Rd,Ryde,NSW,-33.807200,151.109917,false
Calvi Petrol Station,"320 Lane Cove Rd, North Ryde NSW",320 Lane Cove Rd,North Ryde,NSW,-33.792423,151.120245,false
Speedway Kent Road,"34-38 Kent Rd, North Ryde NSW",34-38 Kent Rd,North Ryde,NSW,-33.791700,151.116000,false
Shell Reddy Express West Ryde,"1032-1036 Victoria Rd, West Ryde NSW",1032-1036 Victoria Rd,West Ryde,NSW,-33.807395,151.085117,false
Ampol Foodary North Ryde,"41-43 Epping Rd, North Ryde NSW",41-43 Epping Rd,North Ryde,NSW,-33.791407,151.131126,false
BP,,,,,-33.806760,151.071135,true
BP Putney,"238 Morrison Rd, Putney NSW",238 Morrison Rd,Putney,NSW,-33.823778,151.108437,false
Shell Reddy Express North Ryde Wicks,"96 Wicks Rd, North Ryde NSW",96 Wicks Rd,North Ryde,NSW,-33.794024,151.126903,false
Ryde Automative,"332 Blaxland Rd, Ryde NSW",332 Blaxland Rd,Ryde,NSW,-33.802505,151.100334,false
7-Eleven,"400 Lane Cove Rd, North Ryde NSW",400 Lane Cove Rd,North Ryde,NSW,-33.784274,151.128728,false
Shell,,,,,-33.784879,151.129067,true
Enhance Eastwood / Mini Stop Express,"2 Lovell Rd, Eastwood NSW",2 Lovell Rd,Eastwood,NSW,-33.791808,151.089463,false
Shell Reddy Express Marsfield,"189 Epping Rd, Marsfield NSW",189 Epping Rd,Marsfield,NSW,-33.775231,151.105313,false
Petro 711,"917-921 Victoria Rd, West Ryde NSW",917-921 Victoria Rd,West Ryde,NSW,-33.809162,151.093411,false
Ampol Foodary Ermington,"560-562 Victoria Rd, Ermington NSW",560-562 Victoria Rd,Ermington,NSW,-33.813985,151.054868,false
Metro,"700 Victoria Rd, West Ryde NSW",700 Victoria Rd,West Ryde,NSW,-33.808597,151.066124,false
EG Ampol Marsfield,,,,,-33.778378,151.107365,true
Metro Petroleum Epping,,,,,-33.774780,151.079680,true
BP Dundas (Jasbe),,,,,-33.798925,151.054376,true
Medco Carlingford,,,,,-33.784959,151.043511,true
Astron Rydalmere,,,,,-33.810267,151.032503,true
Budget Petrol Telopea,,,,,-33.793557,151.041315,true
BP Truckstop,,,,,-33.810887,151.032767,true
7-Eleven,,,,,-33.770792,151.080850,true
Ampol Foodary Lane Cove West,,,,,-33.816492,151.151468,true
U-Go Carlingford Court,,,,,-33.775768,151.051636,true
Ampol Foodary Rydalmere,,,,,-33.811924,151.037099,true
Ampol Foodary Carlingford,"131 Pennant Hills Rd, Carlingford NSW 2118",131 Pennant Hills Rd,Carlingford NSW 2118,,-33.787648,151.027913,false
7-Eleven Carlingford,"243 Pennant Hills Road, Carlingford NSW 2118",243 Pennant Hills Road,Carlingford NSW 2118,,-33.782875,151.045752,false
BP Carlingford,"712 Pennant Hills Road, Carlingford NSW 2118",712 Pennant Hills Road,Carlingford NSW 2118,,-33.763701,151.047355,false
Mobil 1 Carlingford Car Care,"482 North Rocks Rd, Carlingford NSW 2118",482 North Rocks Rd,Carlingford NSW 2118,,-33.765073,151.057902,false
North Ryde Petroleum,"118 Coxs Rd, North Ryde NSW 2113",118 Coxs Rd,North Ryde NSW 2113,,-33.801410,151.130360,false
EG Ampol,154 Silverwater Rd,,154 Silverwater Rd,,-33.831862,151.048451,false
BP Truckstop,,,,,-33.837512,151.046606,true
EG Ampol Newington,1 Ave Of The Americas,,1 Ave Of The Americas,,-33.833776,151.055555,false
Enhance Homebush,242 Parramatta Rd,,242 Parramatta Rd,,-33.861619,151.076394,false
Ampol Foodary Lane Cove,266 Longueville Rd,,266 Longueville Rd,,-33.814673,151.161783,false
BP,,,,,-33.819493,151.021292,true
Shell Reddy Express Dundas,"199-203 Kissing Point Rd (Corner, Kirby St",199-203 Kissing Point Rd (Corner,Kirby St,,-33.799619,151.045094,false
BP Truckstop,369 N Rocks Rd,,369 N Rocks Rd,,-33.769191,151.031868,false
7-Eleven,81 Macarthur St,,81 Macarthur St,,-33.809143,151.014375,false
Speedway Parramatta,127A Alfred St,,127A Alfred St,,-33.817810,151.017527,false
Ampol Foodary Parramatta,159 Wigram St,,159 Wigram St,,-33.811056,151.021996,false
Shell Reddy Express Parramatta North,246 Pennant Hills Rd,,246 Pennant Hills Rd,,-33.781706,151.009754,false
7-Eleven,340 N Rocks Rd,,340 N Rocks Rd,,-33.768976,151.030690,false
BP,,,,,-33.754200,151.040600,true
Shell Reddy Express Parramatta,"88 Victoria Rd (Corner, Buller St",88 Victoria Rd (Corner,Buller St,,-33.808676,151.012832,false
Enhance Eastwood,,,,,-33.792063,151.081580,true
7-Eleven,30 Beecroft Rd,,30 Beecroft Rd,,-33.772695,151.081620,false
Shell Reddy Express Epping,41 Beecroft Rd,,41 Beecroft Rd,,-33.771775,151.082658,false
United,,,,,-33.763900,151.001700,true
Shell Reddy Express Hunters Hill,"4 Ryde Rd, Hunters Hill NSW",4 Ryde Rd,Hunters Hill,NSW,-33.831726,151.141664,false
7-Eleven Northmead,"56 Windsor Rd, Northmead NSW",56 Windsor Rd,Northmead,NSW,-33.790820,150.996836,false
Ampol Foodary Northmead,"Windsor Rd Cnr, 98-100 Lombard St, Northmead NSW","Windsor Rd Cnr, 98-100 Lombard St",Northmead,NSW,-33.787866,150.994656,false
Shell Reddy Express Northmead,"197 Windsor Rd, Northmead NSW",197 Windsor Rd,Northmead,NSW,-33.777445,151.000022,false
7-Eleven Northmead,"137 Windsor Rd, Northmead NSW",137 Windsor Rd,Northmead,NSW,-33.782291,150.997014,false
Shell Reddy Express Northmead Briens,"100 Briens Rd, Northmead NSW",100 Briens Rd,Northmead,NSW,-33.796346,150.988914,false
Speedway Auburn Road,,,,,-33.854634,151.032434,true
Ampol,,,,,-33.841182,151.036005,true
Speedway Auburn,,,,,-33.864177,151.023190,true
7-Eleven,,,,,-33.834987,151.022288,true
Budget Petrol Auburn,,,,,-33.857138,151.028902,true
Ampol Foodary Granville,,,,,-33.830331,151.010920,true
Metro Petroleum Lidcombe,,,,,-33.854698,151.046951,true
Metro Petroleum Guildford,,,,,-33.863689,151.008879,true
EG Ampol,,,,,-33.846225,151.012658,true
Shell,,,,,-33.853974,151.059296,true
7-Eleven,,,,,-33.830140,151.010160,true
Speedway Granville (Blaxcell St),,,,,-33.857220,151.007060,true
Speedway South Granville (Clyde St),,,,,-33.847445,151.012921,true
Akshar Enterprise Pty Ltd T/A Power Fuel,,,,,-33.842544,151.010620,true
Speedway Park Rd,,,,,-33.878987,151.024794,true
Westside Petroleum,,,,,-33.855092,150.990726,true
Shell,,,,,-33.821058,151.039782,true
Shell,,,,,-33.824544,151.037681,true
Enhance Camellia,,,,,-33.820500,151.035600,true
Costco Fuel Lidcombe,,,,,-33.848995,151.051015,true
Budget Petrol,,,,,-33.830657,151.004010,true
Speedway William Street,,,,,-33.836260,151.011053,true
Ampol Foodary Merrylands,,,,,-33.838212,150.999746,true
BP Truckstop,,,,,-33.819403,150.989297,true
7-Eleven,,,,,-33.835416,150.985298,true
EG Ampol,,,,,-33.834084,150.991743,true
EG Ampol Strathfield,,,,,-33.885499,151.093633,true
Ampol Foodary Concord,,,,,-33.867857,151.099422,true
7-Eleven,,,,,-33.887370,151.074262,true
Ampol Foodary Strathfield South,,,,,-33.888096,151.074658,true
Shell,,,,,-33.870914,151.092328,true
Budget Petrol North Strathfield,,,,,-33.859461,151.092751,true
7-Eleven,,,,,-33.873042,151.094341,true
EG Ampol,,,,,-33.868713,151.101456,true
7-Eleven,,,,,-33.869534,151.108183,true
Budget Petrol,,,,,-33.888287,151.090479,true
Ampol Foodary Homebush,,,,,-33.858146,151.068180,true
Shell Reddy Express Enfield,,,,,-33.886779,151.070904,true
BP,,,,,-33.887200,151.097800,true
BP Concord (Wild Bean Cafe),,,,,-33.867573,151.105387,true
EG Ampol,,,,,-33.891669,151.057871,true
Shell,,,,,-33.869997,151.114730,true
Ampol Foodary Croydon,,,,,-33.888486,151.116010,true
EG Ampol Greenacre,,,,,-33.900219,151.065695,true
Shell Otr Greenacre West,,,,,-33.892136,151.066415,true
Shell Reddy Express Roberts Road East,,,,,-33.884189,151.081686,true
BP Truckstop,,,,,-33.898937,151.055807,true
Shell,,,,,-33.707260,151.099046,true
BP,,,,,-33.702142,151.099637,true
BP Truckstop,,,,,-33.689785,151.106172,true
Metro Petroleum,,,,,-33.691059,151.099545,true
Ampol Foodary Waitara,,,,,-33.710530,151.102449,true
Ampol Foodary Thornleigh,,,,,-33.726564,151.083651,true
7-Eleven,,,,,-33.719792,151.116842,true
BP,,,,,-33.730936,151.080619,true
Shell,,,,,-33.724963,151.085077,true
Ampol Hornsby Heights Petrol Station,,,,,-33.676673,151.098283,true
Ampol Foodary Chatswood,,,,,-33.803759,151.179011,true
Shell,,,,,-33.791828,151.180516,true
EG Ampol Chatswood East,,,,,-33.786599,151.201014,true
Metro Petroleum Haberfield,,,,,-33.883613,151.134485,true
Speedway Haberfield,,,,,-33.875045,151.128760,true
7-Eleven,,,,,-33.888000,151.142824,true
BP,,,,,-33.881700,151.140100,true
BP,,,,,-33.873896,151.126845,true
BP Truckstop,,,,,-33.892339,151.143105,true
Ampol Foodary Five Dock,,,,,-33.870088,151.130434,true
EG Ampol,,,,,-33.890257,151.147936,true
7-Eleven,,,,,-33.864871,151.129946,true
Budget Petrol - Lewisham,,,,,-33.897049,151.149062,true
Metro Petroleum Leichhardt,,,,,-33.883907,151.150741,true
7-Eleven,,,,,-33.890543,151.129606,true
Shell,,,,,-33.888433,151.164328,true
BP,,,,,-33.865300,151.171600,true
Budget Petrol,,,,,-33.886473,151.125663,true
U-Go Rozelle,,,,,-33.862544,151.168478,true
Prime Petrol Petersham,,,,,-33.888641,151.158637,true
Budget Petrol,,,,,-33.890511,151.158635,true
7-Eleven,,,,,-33.897640,151.099796,true
7-Eleven,,,,,-33.863009,151.168600,true
7-Eleven,,,,,-33.895603,151.125581,true
7-Eleven,,,,,-33.897640,151.155600,true
Shell Otr Willoughby,,,,,-33.806007,151.198676,true
BP,,,,,-33.810300,151.199300,true
Metro Petroleum Willoughby,,,,,-33.803882,151.199745,true
BP,,,,,-33.793840,151.195948,true
BP,,,,,-33.797888,151.198180,true
BP,,,,,-33.819985,151.201087,true
BP,,,,,-33.811011,151.164200,true
Shell,,,,,-33.817209,151.151748,true
Metro Petroleum Lane Cove,,,,,-33.806004,151.166305,true
BP,,,,,-33.811409,151.175563,true
Caltex Lane Cove,,,,,-33.814617,151.154311,true
Shell,,,,,-33.814041,151.176869,true
7-Eleven,,,,,-33.810553,151.177395,true
BP,,,,,-33.824461,151.172672,true
Ampol Foodary Crows Nest,,,,,-33.828680,151.206030,true
